,Approach,Input,Graded Precision,Graded Recall,F-Score,OE
1,SVM-RBF,I1 (Just TF),0.59,0.71,0.64,0.31
8,SVM-RBF,I2 (CF AND TF),0.59,0.71,0.64,0.31
9,SVM-L,I1 (Just TF),0.71,0.68,0.69,0.28
6,SVM-L,I2 (CF AND TF),0.7,0.68,0.69,0.27
5,RF,I1 (Just TF),0.65,0.67,0.66,0.32
0,RF,I2 (CF AND TF),0.67,0.67,0.67,0.29
7,FFNN,I1 (Just TF),0.61,0.71,0.65,0.29
2,FFNN,I2 (CF AND TF),1.0,0.56,0.72,0.59
3,CNN,I1 (Just TF),0.46,0.64,0.53,0.28
4,CNN,I2 (CF AND TF),0.6,0.62,0.61,0.3
