,Approach,Input,Graded Precision,Graded Recall,F-Score,OE
0,SVM-RBF,I2 (CF AND TF),0.75,0.71,0.73,0.12
3,SVM-L,I2 (CF AND TF),0.76,0.7,0.73,0.12
2,RF,I2 (CF AND TF),0.66,0.7,0.67,0.33
6,RF,I2 (CF AND TF),0.75,0.69,0.72,0.14
7,FFNN,I1 (Just TF),1.0,0.57,0.73,0.31
4,FFNN,I2 (CF AND TF),0.75,0.7,0.72,0.12
1,CNN,I1 (Just TF),0.73,0.69,0.71,0.21
5,CNN,I2 (CF AND TF),0.71,0.66,0.68,0.22
